Title: The Transit Light Curve Project. V. System Parameters and Stellar 
       Rotation Period of HD 189733  
Authors: Winn J.N., Holman M.J., Henry G.W., Roussanova A., Enya K., Yoshii Y.,
         Shporer A., Mazeh T., Johnson .A., Narita N., Suto Y. 
Table: Photometry of HD 189733
================================================================================
Byte-by-byte Description of file: datafile2.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label   Explanations
--------------------------------------------------------------------------------
   1- 12 A12    ---     Tele    Telescope 
  14- 20 A7     ---     Filter  Filter 
  22- 34 F13.5  d       HJD     Heliocentric Julian Date of mid-exposure
  36- 41 F6.4   ---     RFlux   Relative flux 
  43- 48 F6.4   ---   e_RFlux   Uncertainty in RFlux
--------------------------------------------------------------------------------
FLWO 1.2m    z       2453937.77063 0.9749 0.0023 
FLWO 1.2m    z       2453937.77079 0.9758 0.0023 
FLWO 1.2m    z       2453937.77095 0.9753 0.0023 
FLWO 1.2m    z       2453937.77111 0.9743 0.0023 
FLWO 1.2m    z       2453937.77130 0.9741 0.0023 
FLWO 1.2m    z       2453937.77146 0.9768 0.0023 
FLWO 1.2m    z       2453937.77164 0.9748 0.0023 
FLWO 1.2m    z       2453937.77180 0.9760 0.0023 
FLWO 1.2m    z       2453937.77198 0.9738 0.0023 
FLWO 1.2m    z       2453937.77214 0.9732 0.0023 
FLWO 1.2m    z       2453937.77231 0.9751 0.0023 
FLWO 1.2m    z       2453937.77248 0.9764 0.0023 
FLWO 1.2m    z       2453937.77264 0.9724 0.0023 
FLWO 1.2m    z       2453937.77280 0.9747 0.0023 
FLWO 1.2m    z       2453937.77297 0.9713 0.0023 
FLWO 1.2m    z       2453937.77314 0.9758 0.0023 
FLWO 1.2m    z       2453937.77330 0.9729 0.0023 
FLWO 1.2m    z       2453937.77348 0.9772 0.0023 
FLWO 1.2m    z       2453937.77364 0.9743 0.0023 
FLWO 1.2m    z       2453937.77380 0.9754 0.0023 
FLWO 1.2m    z       2453937.77397 0.9750 0.0023 
FLWO 1.2m    z       2453937.77414 0.9752 0.0023 
FLWO 1.2m    z       2453937.77430 0.9763 0.0023 
FLWO 1.2m    z       2453937.77446 0.9728 0.0023 
FLWO 1.2m    z       2453937.77463 0.9756 0.0023 
FLWO 1.2m    z       2453937.77479 0.9750 0.0023 
FLWO 1.2m    z       2453937.77496 0.9717 0.0023 
FLWO 1.2m    z       2453937.77512 0.9737 0.0023 
FLWO 1.2m    z       2453937.77528 0.9753 0.0023 
FLWO 1.2m    z       2453937.77547 0.9720 0.0023 
FLWO 1.2m    z       2453937.77564 0.9731 0.0023 
FLWO 1.2m    z       2453937.77581 0.9748 0.0023 
FLWO 1.2m    z       2453937.77598 0.9751 0.0023 
FLWO 1.2m    z       2453937.77616 0.9749 0.0023 
FLWO 1.2m    z       2453937.77633 0.9764 0.0023 
FLWO 1.2m    z       2453937.77651 0.9761 0.0023 
FLWO 1.2m    z       2453937.77668 0.9742 0.0022 
FLWO 1.2m    z       2453937.77685 0.9755 0.0022 
FLWO 1.2m    z       2453937.77702 0.9732 0.0022 
FLWO 1.2m    z       2453937.77720 0.9743 0.0022 
FLWO 1.2m    z       2453937.77736 0.9733 0.0022 
FLWO 1.2m    z       2453937.77754 0.9746 0.0022 
FLWO 1.2m    z       2453937.77770 0.9739 0.0022 
FLWO 1.2m    z       2453937.77789 0.9762 0.0022 
FLWO 1.2m    z       2453937.77805 0.9763 0.0022 
FLWO 1.2m    z       2453937.77821 0.9754 0.0022 
FLWO 1.2m    z       2453937.77837 0.9731 0.0022 
FLWO 1.2m    z       2453937.77855 0.9698 0.0022 
FLWO 1.2m    z       2453937.77871 0.9722 0.0022 
FLWO 1.2m    z       2453937.77887 0.9760 0.0022 
FLWO 1.2m    z       2453937.77903 0.9763 0.0022 
FLWO 1.2m    z       2453937.77938 0.9752 0.0022 
FLWO 1.2m    z       2453937.77954 0.9734 0.0022 
FLWO 1.2m    z       2453937.77970 0.9738 0.0022 
FLWO 1.2m    z       2453937.77988 0.9729 0.0022 
FLWO 1.2m    z       2453937.78004 0.9762 0.0022 
FLWO 1.2m    z       2453937.78020 0.9732 0.0022 
FLWO 1.2m    z       2453937.78036 0.9731 0.0022 
FLWO 1.2m    z       2453937.78052 0.9769 0.0022 
FLWO 1.2m    z       2453937.78070 0.9754 0.0022 
FLWO 1.2m    z       2453937.78086 0.9748 0.0022 
FLWO 1.2m    z       2453937.78102 0.9743 0.0022 
FLWO 1.2m    z       2453937.78118 0.9774 0.0022 
FLWO 1.2m    z       2453937.78136 0.9735 0.0022 
FLWO 1.2m    z       2453937.78153 0.9767 0.0022 
FLWO 1.2m    z       2453937.78170 0.9761 0.0022 
FLWO 1.2m    z       2453937.78187 0.9729 0.0022 
FLWO 1.2m    z       2453937.78203 0.9737 0.0022 
FLWO 1.2m    z       2453937.78219 0.9757 0.0022 
FLWO 1.2m    z       2453937.78238 0.9732 0.0022 
FLWO 1.2m    z       2453937.78254 0.9756 0.0022 
FLWO 1.2m    z       2453937.78270 0.9778 0.0022 
FLWO 1.2m    z       2453937.78287 0.9765 0.0022 
FLWO 1.2m    z       2453937.78304 0.9768 0.0022 
FLWO 1.2m    z       2453937.78320 0.9730 0.0022 
FLWO 1.2m    z       2453937.78336 0.9753 0.0022 
FLWO 1.2m    z       2453937.78352 0.9756 0.0022 
FLWO 1.2m    z       2453937.78370 0.9773 0.0022 
FLWO 1.2m    z       2453937.78386 0.9756 0.0022 
FLWO 1.2m    z       2453937.78402 0.9769 0.0022 
FLWO 1.2m    z       2453937.78418 0.9750 0.0022 
FLWO 1.2m    z       2453937.78434 0.9746 0.0022 
FLWO 1.2m    z       2453937.78451 0.9766 0.0022 
FLWO 1.2m    z       2453937.78468 0.9725 0.0022 
FLWO 1.2m    z       2453937.78484 0.9800 0.0022 
FLWO 1.2m    z       2453937.78500 0.9756 0.0022 
FLWO 1.2m    z       2453937.78519 0.9754 0.0022 
FLWO 1.2m    z       2453937.78535 0.9767 0.0022 
FLWO 1.2m    z       2453937.78552 0.9738 0.0022 
FLWO 1.2m    z       2453937.78570 0.9754 0.0022 
FLWO 1.2m    z       2453937.78588 0.9715 0.0022 
FLWO 1.2m    z       2453937.78604 0.9733 0.0022 
FLWO 1.2m    z       2453937.78623 0.9758 0.0022 
FLWO 1.2m    z       2453937.78639 0.9760 0.0022 
FLWO 1.2m    z       2453937.78657 0.9718 0.0022 
FLWO 1.2m    z       2453937.78673 0.9781 0.0022 
FLWO 1.2m    z       2453937.78691 0.9751 0.0022 
FLWO 1.2m    z       2453937.78709 0.9742 0.0022 
FLWO 1.2m    z       2453937.78726 0.9741 0.0022 
FLWO 1.2m    z       2453937.78742 0.9744 0.0022 
FLWO 1.2m    z       2453937.78758 0.9740 0.0022 
FLWO 1.2m    z       2453937.78776 0.9737 0.0022 
FLWO 1.2m    z       2453937.78792 0.9743 0.0022 
FLWO 1.2m    z       2453937.78808 0.9738 0.0022 
FLWO 1.2m    z       2453937.78824 0.9756 0.0022 
FLWO 1.2m    z       2453937.78842 0.9754 0.0022 
FLWO 1.2m    z       2453937.78858 0.9726 0.0022 
FLWO 1.2m    z       2453937.78875 0.9753 0.0022 
FLWO 1.2m    z       2453937.78891 0.9750 0.0022 
FLWO 1.2m    z       2453937.78908 0.9731 0.0022 
FLWO 1.2m    z       2453937.78925 0.9768 0.0022 
FLWO 1.2m    z       2453937.78941 0.9743 0.0022 
FLWO 1.2m    z       2453937.78957 0.9753 0.0022 
FLWO 1.2m    z       2453937.78974 0.9750 0.0022 
FLWO 1.2m    z       2453937.78990 0.9721 0.0022 
FLWO 1.2m    z       2453937.79007 0.9747 0.0022 
FLWO 1.2m    z       2453937.79024 0.9764 0.0022 
FLWO 1.2m    z       2453937.79040 0.9729 0.0022 
FLWO 1.2m    z       2453937.79056 0.9756 0.0022 
FLWO 1.2m    z       2453937.79074 0.9741 0.0022 
FLWO 1.2m    z       2453937.79091 0.9725 0.0022 
FLWO 1.2m    z       2453937.79108 0.9751 0.0022 
FLWO 1.2m    z       2453937.79125 0.9758 0.0022 
FLWO 1.2m    z       2453937.79143 0.9759 0.0022 
FLWO 1.2m    z       2453937.79159 0.9741 0.0022 
FLWO 1.2m    z       2453937.79175 0.9737 0.0022 
FLWO 1.2m    z       2453937.79193 0.9737 0.0022 
FLWO 1.2m    z       2453937.79209 0.9776 0.0022 
FLWO 1.2m    z       2453937.79225 0.9756 0.0022 
FLWO 1.2m    z       2453937.79241 0.9787 0.0022 
FLWO 1.2m    z       2453937.79257 0.9743 0.0022 
FLWO 1.2m    z       2453937.79275 0.9753 0.0022 
FLWO 1.2m    z       2453937.79292 0.9785 0.0022 
FLWO 1.2m    z       2453937.79309 0.9736 0.0022 
FLWO 1.2m    z       2453937.79326 0.9775 0.0022 
FLWO 1.2m    z       2453937.79342 0.9736 0.0022 
FLWO 1.2m    z       2453937.79358 0.9784 0.0022 
FLWO 1.2m    z       2453937.79374 0.9751 0.0022 
FLWO 1.2m    z       2453937.79391 0.9755 0.0022 
FLWO 1.2m    z       2453937.79408 0.9745 0.0022 
FLWO 1.2m    z       2453937.79424 0.9763 0.0022 
FLWO 1.2m    z       2453937.79440 0.9737 0.0022 
FLWO 1.2m    z       2453937.79456 0.9776 0.0022 
FLWO 1.2m    z       2453937.79473 0.9789 0.0022 
FLWO 1.2m    z       2453937.79491 0.9759 0.0022 
FLWO 1.2m    z       2453937.79507 0.9780 0.0022 
FLWO 1.2m    z       2453937.79525 0.9731 0.0022 
